Time [h]	Intlet Temperature [C]	Outlet Temperature [C]
232	2.87144	5.87144
233	2.85145	5.85145
234	2.83116	5.83116
235	2.81174	5.81174
236	2.79151	5.79151
237	2.77197	5.77197
238	2.75201	5.75201
239	2.73189	5.73189
240	2.71221	5.71221
241	2.69184	5.69184
242	2.67007	5.67007
243	2.64915	5.64915
244	2.62693	5.62693
245	2.60422	5.60422
246	2.58253	5.58253
247	2.56015	5.56015
248	2.53727	5.53727
249	2.51441	5.51441
250	2.49115	5.49115
251	2.46903	5.46903
252	2.44602	5.44602
253	2.42311	5.42311
254	2.40051	5.40051
255	2.37772	5.37772
256	2.35443	5.35443
257	2.33114	5.33114
258	2.30806	5.30806
259	2.28493	5.28493
260	2.2619	5.2619
261	2.23812	5.23812
262	2.21571	5.21571
263	2.19107	5.19107
264	2.16724	5.16724
265	2.14354	5.14354
266	2.13125	5.13125
267	2.12442	5.12442
268	2.11918	5.11918
269	2.11538	5.11538
270	2.11235	5.11235
271	2.11031	5.11031
272	2.10946	5.10946
273	2.10828	5.10828
274	2.10669	5.10669
275	2.10745	5.10745
276	2.10791	5.10791
277	2.10822	5.10822
278	2.10735	5.10735
279	2.10869	5.10869
280	2.11014	5.11014
281	2.11125	5.11125
282	2.11346	5.11346
283	2.11513	5.11513
284	2.11625	5.11625
285	2.11856	5.11856
286	2.12052	5.12052
287	2.12283	5.12283
288	2.12561	5.12561
289	2.12807	5.12807
290	2.11837	5.11837
291	2.10164	5.10164
292	2.08266	5.08266
293	2.06183	5.06183
294	2.03986	5.03986
295	2.01933	5.01933
296	1.99524	4.99524
297	1.97143	4.97143
298	1.94754	4.94754
299	1.92323	4.92323
300	1.89826	4.89826
301	1.87352	4.87352
302	1.84794	4.84794
303	1.82206	4.82206
304	1.79661	4.79661
305	1.76981	4.76981
306	1.74477	4.74477
307	1.71854	4.71854
308	1.6918	4.6918
309	1.66465	4.66465
310	1.6382	4.6382
311	1.61154	4.61154
312	1.58398	4.58398
313	1.55671	4.55671
314	1.54701	4.54701
315	1.54707	4.54707
316	1.55082	4.55082
317	1.55642	4.55642
318	1.56351	4.56351
319	1.57207	4.57207
320	1.58159	4.58159
321	1.59172	4.59172
322	1.60235	4.60235
323	1.61356	4.61356
324	1.62575	4.62575
325	1.63736	4.63736
326	1.65087	4.65087
327	1.6637	4.6637
328	1.67736	4.67736
329	1.69095	4.69095
330	1.70532	4.70532
331	1.71961	4.71961
332	1.73446	4.73446
333	1.74932	4.74932
334	1.76476	4.76476
335	1.7801	4.7801
336	1.79573	4.79573
337	1.81148	4.81148
338	1.82452	4.82452
339	1.83632	4.83632
340	1.848	4.848
341	1.85972	4.85972
342	1.87129	4.87129
343	1.88286	4.88286
344	1.89427	4.89427
345	1.90551	4.90551
346	1.91726	4.91726
347	1.9284	4.9284
348	1.94014	4.94014
349	1.95157	4.95157
350	1.96297	4.96297
351	1.97525	4.97525
352	1.98635	4.98635
353	1.99865	4.99865
354	2.01053	5.01053
355	2.02236	5.02236
356	2.03465	5.03465
357	2.04583	5.04583
358	2.05701	5.05701
359	2.06962	5.06962
360	2.08193	5.08193
361	2.09467	5.09467
362	2.12069	5.12069
363	2.15324	5.15324
364	2.18887	5.18887
365	2.22636	5.22636
366	2.26379	5.26379
367	2.30268	5.30268
368	2.34172	5.34172
369	2.38291	5.38291
370	2.42295	5.42295
371	2.46406	5.46406
372	2.50576	5.50576
373	2.54809	5.54809
374	2.59055	5.59055
375	2.6339	5.6339
376	2.67598	5.67598
377	2.71946	5.71946
378	2.76366	5.76366
379	2.80732	5.80732
380	2.85127	5.85127
381	2.89603	5.89603
382	2.94064	5.94064
383	2.98555	5.98555
384	3.02988	6.02988
385	3.07458	6.07458
386	3.09521	6.09521
387	3.10679	6.10679
388	3.11343	6.11343
389	3.1187	6.1187
390	3.12247	6.12247
391	3.12486	6.12486
392	3.12609	6.12609
393	3.12625	6.12625
394	3.12667	6.12667
395	3.1255	6.1255
396	3.124	6.124
397	3.12308	6.12308
398	3.12023	6.12023
399	3.11763	6.11763
400	3.11467	6.11467
401	3.11144	6.11144
402	3.1074	6.1074
403	3.10417	6.10417
404	3.09953	6.09953
405	3.09564	6.09564
406	3.09004	6.09004
407	3.08489	6.08489
408	3.08112	6.08112
409	3.07481	6.07481
410	3.07249	6.07249
411	3.07112	6.07112
412	3.06992	6.06992
413	3.06836	6.06836
414	3.0684	6.0684
415	3.06738	6.06738
416	3.06624	6.06624
417	3.06513	6.06513
418	3.06439	6.06439
419	3.06299	6.06299
420	3.06255	6.06255
421	3.06118	6.06118
422	3.0605	6.0605
423	3.05929	6.05929
424	3.05842	6.05842
425	3.05697	6.05697
426	3.05627	6.05627
427	3.05488	6.05488
428	3.05358	6.05358
429	3.05207	6.05207
430	3.05142	6.05142
431	3.04913	6.04913
432	3.04816	6.04816
433	3.04731	6.04731
434	3.04064	6.04064
435	3.03202	6.03202
436	3.0212	6.0212
437	3.01111	6.01111
438	2.99983	5.99983
439	2.98867	5.98867
440	2.9768	5.9768
441	2.96505	5.96505
442	2.95266	5.95266
443	2.94108	5.94108
444	2.92817	5.92817
445	2.91555	5.91555
446	2.9025	5.9025
447	2.88985	5.88985
448	2.87678	5.87678
449	2.86349	5.86349
450	2.8497	5.8497
451	2.83732	5.83732
452	2.82317	5.82317
453	2.80938	5.80938
454	2.79568	5.79568
455	2.78162	5.78162
456	2.76819	5.76819
457	2.75369	5.75369
458	2.75062	5.75062
459	2.75164	5.75164
460	2.75562	5.75562
461	2.7605	5.7605
462	2.76642	5.76642
463	2.77261	5.77261
464	2.77832	5.77832
465	2.78724	5.78724
466	2.79462	5.79462
467	2.80138	5.80138
468	2.80946	5.80946
469	2.81705	5.81705
470	2.82651	5.82651
471	2.83443	5.83443
472	2.84363	5.84363
473	2.8531	5.8531
474	2.86195	5.86195
475	2.87122	5.87122
476	2.88011	5.88011
477	2.88993	5.88993
478	2.89993	5.89993
479	2.90988	5.90988
480	2.91903	5.91903
481	2.92967	5.92967
482	2.92523	5.92523
483	2.9148	5.9148
484	2.90194	5.90194
485	2.88727	5.88727
486	2.87228	5.87228
487	2.85628	5.85628
488	2.83919	5.83919
489	2.82227	5.82227
490	2.80468	5.80468
491	2.78647	5.78647
492	2.7676	5.7676
493	2.74848	5.74848
494	2.72994	5.72994
495	2.71039	5.71039
496	2.69028	5.69028
497	2.67051	5.67051
498	2.65044	5.65044
499	2.63027	5.63027
500	2.60989	5.60989
501	2.58896	5.58896
502	2.5679	5.5679
503	2.54628	5.54628
504	2.52492	5.52492
505	2.50374	5.50374
506	2.47831	5.47831
507	2.45157	5.45157
508	2.42445	5.42445
509	2.39646	5.39646
510	2.36795	5.36795
511	2.33952	5.33952
512	2.31048	5.31048
513	2.28151	5.28151
514	2.25218	5.25218
515	2.22273	5.22273
516	2.1925	5.1925
517	2.15924	5.15924
518	2.13041	5.13041
519	2.10066	5.10066
520	2.07012	5.07012
521	2.03833	5.03833
522	2.00746	5.00746
523	1.97623	4.97623
524	1.94394	4.94394
525	1.91359	4.91359
526	1.88133	4.88133
527	1.84925	4.84925
528	1.81739	4.81739
529	1.78548	4.78548
530	1.7499	4.7499
531	1.7132	4.7132
532	1.67546	4.67546
533	1.63723	4.63723
534	1.59754	4.59754
535	1.55907	4.55907
536	1.52018	4.52018
537	1.48098	4.48098
538	1.44128	4.44128
539	1.4011	4.4011
540	1.36057	4.36057
541	1.32031	4.32031
542	1.2798	4.2798
543	1.23892	4.23892
544	1.19867	4.19867
545	1.15802	4.15802
546	1.11666	4.11666
547	1.07512	4.07512
548	1.03355	4.03355
549	0.991485	3.99149
550	0.949881	3.94988
551	0.907414	3.90741
552	0.865463	3.86546
553	0.82331	3.82331
554	0.794471	3.79447
555	0.775212	3.77521
556	0.757981	3.75798
557	0.743243	3.74324
558	0.729842	3.72984
559	0.716725	3.71672
560	0.704791	3.70479
561	0.695316	3.69532
562	0.684379	3.68438
563	0.673426	3.67343
564	0.663157	3.66316
565	0.653974	3.65397
566	0.645132	3.64513
567	0.636009	3.63601
568	0.627466	3.62747
569	0.618337	3.61834
570	0.610741	3.61074
571	0.602776	3.60278
572	0.59541	3.59541
573	0.587748	3.58775
574	0.580565	3.58057
575	0.574098	3.5741
576	0.566693	3.56669
577	0.561022	3.56102
578	0.54899	3.54899
579	0.534615	3.53461
580	0.519428	3.51943
581	0.50349	3.50349
582	0.487595	3.4876
583	0.471688	3.47169
584	0.45523	3.45523
585	0.43843	3.43843
586	0.421677	3.42168
587	0.405075	3.40508
588	0.387965	3.38797
589	0.371132	3.37113
590	0.354131	3.35413
591	0.337241	3.33724
592	0.319715	3.31972
593	0.302444	3.30244
594	0.28553	3.28553
595	0.268672	3.26867
596	0.251628	3.25163
597	0.234335	3.23433
598	0.217179	3.21718
599	0.19922	3.19922
600	0.182279	3.18228
601	0.165771	3.16577
602	0.165465	3.16547
603	0.174571	3.17457
604	0.187944	3.18794
605	0.20365	3.20365
606	0.221485	3.22148
607	0.240792	3.24079
608	0.260956	3.26096
609	0.283115	3.28311
610	0.303786	3.30379
611	0.32631	3.32631
612	0.349251	3.34925
613	0.373486	3.37349
614	0.398116	3.39812
615	0.42202	3.42202
616	0.447029	3.44703
617	0.471805	3.47181
618	0.497312	3.49731
619	0.523701	3.5237
620	0.55029	3.55029
621	0.577071	3.57707
622	0.603811	3.60381
623	0.630938	3.63094
624	0.658348	3.65835
625	0.685959	3.68596
626	0.700562	3.70056
627	0.707044	3.70704
628	0.71252	3.71252
629	0.715459	3.71546
630	0.716863	3.71686
631	0.71805	3.71805
632	0.718843	3.71884
633	0.718337	3.71834
634	0.718025	3.71803
635	0.717201	3.7172
636	0.716164	3.71616
637	0.715016	3.71502
638	0.713203	3.7132
639	0.711671	3.71167
640	0.709961	3.70996
641	0.707557	3.70756
642	0.705345	3.70535
643	0.702915	3.70292
644	0.699707	3.69971
645	0.698196	3.6982
646	0.696208	3.69621
647	0.693368	3.69337
648	0.690296	3.6903
649	0.685985	3.68598
650	0.712799	3.7128
651	0.749182	3.74918
652	0.792996	3.793
653	0.8403	3.8403
654	0.889513	3.88951
655	0.940677	3.94068
656	0.993751	3.99375
657	1.04769	4.04769
658	1.10243	4.10243
659	1.1582	4.1582
660	1.21652	4.21652
661	1.27319	4.27319
662	1.33064	4.33064
663	1.38862	4.38862
664	1.44809	4.44809
665	1.50713	4.50713
666	1.56671	4.56671
667	1.62753	4.62753
668	1.68963	4.68963
669	1.75033	4.75033
670	1.81082	4.81082
671	1.87265	4.87265
672	1.93442	4.93442
673	1.99671	4.99671
674	2.04985	5.04985
675	2.0998	5.0998
676	2.14803	5.14803
677	2.1955	5.1955
678	2.2429	5.2429
679	2.28949	5.28949
680	2.33603	5.33603
681	2.38256	5.38256
682	2.42918	5.42918
683	2.47578	5.47578
684	2.52146	5.52146
685	2.56765	5.56765
686	2.61283	5.61283
687	2.65999	5.65999
688	2.70622	5.70622
689	2.75077	5.75077
690	2.79607	5.79607
691	2.84164	5.84164
692	2.88696	5.88696
693	2.93282	5.93282
694	2.97729	5.97729
695	3.02293	6.02293
696	3.06842	6.06842
697	3.11381	6.11381
698	3.14398	6.14398
699	3.16954	6.16954
700	3.1913	6.1913
701	3.21281	6.21281
702	3.23384	6.23384
703	3.25353	6.25353
704	3.27281	6.27281
705	3.2912	6.2912
706	3.30968	6.30968
707	3.32618	6.32618
708	3.34471	6.34471
709	3.36082	6.36082
710	3.37787	6.37787
711	3.39424	6.39424
712	3.41082	6.41082
713	3.42633	6.42633
714	3.44185	6.44185
715	3.45745	6.45745
716	3.47321	6.47321
717	3.48772	6.48772
718	3.5026	6.5026
719	3.5165	6.5165
720	3.53242	6.53242
721	3.54717	6.54717
722	3.54186	6.54186
723	3.52901	6.52901
724	3.51304	6.51304
725	3.496	6.496
726	3.47669	6.47669
727	3.45583	6.45583
728	3.43477	6.43477
729	3.41187	6.41187
730	3.38787	6.38787
731	3.36475	6.36475
732	3.34005	6.34005
733	3.31467	6.31467
734	3.28894	6.28894
735	3.2625	6.2625
736	3.23556	6.23556
737	3.20802	6.20802
738	3.18011	6.18011
739	3.15169	6.15169
740	3.12281	6.12281
741	3.09224	6.09224
742	3.06257	6.06257
743	3.03261	6.03261
744	3.00061	6.00061
745	2.97062	5.97062
746	2.95447	5.95447
747	2.94535	5.94535
748	2.93752	5.93752
749	2.93071	5.93071
750	2.92491	5.92491
751	2.91964	5.91964
752	2.91467	5.91467
753	2.91094	5.91094
754	2.90768	5.90768
755	2.90411	5.90411
756	2.9008	5.9008
757	2.89772	5.89772
758	2.89407	5.89407
759	2.89199	5.89199
760	2.88976	5.88976
761	2.88761	5.88761
762	2.8848	5.8848
763	2.88295	5.88295
764	2.88039	5.88039
765	2.87855	5.87855
766	2.87642	5.87642
767	2.87462	5.87462
768	2.87267	5.87267
769	2.87075	5.87075
770	2.87535	5.87535
771	2.88286	5.88286
772	2.89152	5.89152
773	2.90105	5.90105
774	2.91128	5.91128
775	2.92106	5.92106
776	2.93158	5.93158
777	2.94239	5.94239
778	2.95389	5.95389
779	2.96532	5.96532
780	2.97686	5.97686
781	2.98808	5.98808
782	3.00059	6.00059
783	3.01286	6.01286
784	3.02546	6.02546
785	3.03784	6.03784
786	3.04982	6.04982
787	3.06168	6.06168
