time [d]	Qevap [W]	mdot [kg/s]
192	-1.3	0.000103668
193	-1.3	0.000103668
194	-1.3	0.000103668
195	-8.89447	0.000709288
196	-9.04189	0.000721044
197	-9.43995	0.000752787
198	-3.25871	0.000259865
199	-1.3	0.000103668
200	-1.3	0.000103668
201	-1.3	0.000103668
202	-1.3	0.000103668
203	-4.73616	0.000377684
204	-7.23112	0.000576645
205	-3.57136	0.000284798
206	-4.22903	0.000337243
207	-5.99547	0.000478108
208	-1.3	0.000103668
209	-1.3	0.000103668
210	-1.3	0.000103668
211	-1.99056	0.000158737
212	-3.20853	0.000255863
213	-6.99816	0.000558067
214	-5.81555	0.000463759
215	-7.11906	0.000567709
216	-11.30974	0.000901893
217	-10.64323	0.000848743
218	-8.14528	0.000649544
219	-2.73078	0.000217766
220	-1.3	0.000103668
221	-1.3	0.000103668
222	-1.3	0.000103668
223	-1.3	0.000103668
224	-1.3	0.000103668
225	-1.3	0.000103668
226	-1.3	0.000103668
227	-1.3	0.000103668
228	-1.40075	0.000111703
229	-1.3	0.000103668
230	-1.3	0.000103668
231	-5.47638	0.000436713
232	-3.51819	0.000280557
233	-18.78851	0.001498286
234	-8.04505	0.000641551
235	-5.75653	0.000459053
236	-3.69226	0.000294438
237	-9.44593	0.000753264
238	-15.7599	0.00125677
239	-13.37401	0.001066508
240	-16.57968	0.001322143
241	-29.80627	0.002376895
242	-43.77607	0.003490915
243	-57.56894	0.004590825
244	-56.74318	0.004524975
245	-36.03184	0.002873352
246	-27.33497	0.002179822
247	-26.42081	0.002106923
248	-32.29525	0.002575379
249	-25.79265	0.00205683
250	-21.26579	0.001695837
251	-16.36739	0.001305214
252	-24.0851	0.001920662
253	-29.11324	0.00232163
254	-35.25613	0.002811493
255	-49.46487	0.003944567
256	-42.90312	0.003421301
257	-55.24506	0.004405508
258	-111.71394	0.008908608
259	-75.52285	0.006022556
260	-125.00241	0.009968295
261	-115.60081	0.009218565
262	-129.44672	0.010322705
263	-258.0292	0.020576491
264	-434.32493	0.034635162
265	-1149.98559	0.09170539
266	-740.68943	0.059066142
267	-829.73085	0.066166734
268	-817.82545	0.065217341
269	-507.83356	0.040497094
270	-326.68662	0.026051565
271	-356.04166	0.028392477
272	-261.62708	0.020863404
273	-300.97067	0.024000851
274	-147.63944	0.01177348
275	-135.43036	0.01079987
276	-188.35739	0.015020525
277	-815.7227	0.065049657
278	-1499.54818	0.119581194
279	-1403.03085	0.111884438
280	-1005.01492	0.080144731
281	-766.16358	0.061097574
282	-1105.89687	0.088189543
283	-1129.17389	0.090045765
284	-1004.84683	0.080131327
285	-903.15095	0.072021607
286	-887.7804	0.070795885
287	-719.69495	0.057391942
288	-759.34534	0.060553854
289	-518.76864	0.04136911
290	-862.6956	0.068795502
291	-1119.96105	0.089311088
292	-1404.93301	0.112036126
293	-1262.79946	0.100701712
294	-995.32719	0.079372184
295	-757.30447	0.060391106
296	-703.29818	0.056084384
297	-834.90355	0.066579231
298	-1411.96354	0.112596774
299	-1745.22959	0.139173013
300	-1126.49316	0.08983199
301	-1182.623	0.094308054
302	-1908.33409	0.152179752
303	-1900.54553	0.151558655
304	-1525.55312	0.121654954
305	-1395.56079	0.111288739
306	-1275.68103	0.101728949
307	-1357.86573	0.108282754
308	-1186.20606	0.094593785
309	-1711.61016	0.136492039
310	-1677.21216	0.133748976
311	-1367.24679	0.109030844
312	-1461.61717	0.116556393
313	-1522.05846	0.121376273
314	-1209.48308	0.096450007
315	-1184.55753	0.094462323
316	-1705.08975	0.13597207
317	-1791.75711	0.142883342
318	-1644.42733	0.131134556
319	-1197.48044	0.095492859
320	-1641.96487	0.130938188
321	-2360.5569	0.188242178
322	-2337.37413	0.186393471
323	-2242.57033	0.17883336
324	-2676.00749	0.213397726
325	-2925.79404	0.233316909
326	-2615.26538	0.208553859
327	-1862.08672	0.148491764
328	-2010.04466	0.160290642
329	-2277.27201	0.181600639
330	-2624.05364	0.209254677
331	-3041.78706	0.242566752
332	-3073.65175	0.245107795
333	-2375.54694	0.189437555
334	-1872.16367	0.149295349
335	-1847.86914	0.147357986
336	-1879.00544	0.149840945
337	-1773.75601	0.141447848
338	-1741.03605	0.1388386
339	-1527.51417	0.121811338
340	-1333.66571	0.106352927
341	-1863.77061	0.148626045
