Tool	Tool Editor	Tool Name	Tool Version
delphin	Stephan Hirth, IBK TU Dresden	NANDRAD	1.8
feflow	Julian Agudelo, Hochschule München	FEFLOW	18
ghe	Stephan Hirth, Hochschule München	GHE	18
aixlib	Stephan Hirth, Hochschule München	AixLib	18
