Tool	Tool Editor	Tool Name	Tool Version	Tool Color
feflow	Oliver Suft, FAU	FEFLOW	18	#0369a3
delphin	TU Dresden, IBK TU Dresden	DELPHIN	1.8	#d36118
aixlib	TU Dresden, IBK TU Dresden	AixLib	1.8	#d3f118
ghe	TU Dresden, IBK TU Dresden	GHE	1.8	#f36118
