Time [h]	Inlet Temperature [C]	Outlet Temperature [C]
0	10.0	0.0
1	6.7428571428007	10.0
2	6.7540979906475	10.011240847843
3	6.3999318211399	9.6570746783316
4	6.1793659281866	9.4365087853743
5	6.0212639282367	9.2784067854204
6	5.9031659724754	9.1603088296551
7	5.8158874694651	9.0730303266406
8	5.7493022037849	9.0064450609562
9	5.6976781917076	8.9548210488746
10	5.6573223866057	8.9144652437684
11	5.6255864421854	8.8827292993436
12	5.6006051903188	8.8577480474726
13	5.5810524721096	8.8381953292588
14	5.5658928049519	8.8230356620965
15	5.5543868306179	8.8115296877577
16	5.5459306963787	8.8030735535137
17	5.540117589451	8.7972604465811
18	5.5365172562166	8.7936601133416
19	5.5348776578308	8.7920205149507
20	5.5348848490781	8.7920277061929
21	5.5364302005059	8.7935730576154
22	5.5392936569795	8.7964365140836
23	5.543340411303	8.8004832684016
24	5.5484680056417	8.8056108627347
25	5.5545383249251	8.8116811820197
26	5.5597812247478	8.8169240818515
27	5.5647226945636	8.8218655516766
28	5.5697249106292	8.8268677677516
29	5.5749655172131	8.832108374345
30	5.580523947892	8.8376668050335
31	5.5864799323887	8.8436227895401
32	5.5926991582958	8.8498420154571
33	5.5994890967782	8.8566319539497
34	5.6062674488953	8.863410306077
35	5.6135209621628	8.8706638193549
36	5.6211050567243	8.8782479139269
37	5.6289814885791	8.8861243457925
38	5.6372631787416	8.8944060359659
39	5.6458244170018	8.9029672742373
40	5.6544795016328	8.9116223588795
41	5.6634799676601	8.9206228249183
42	5.6727378186568	8.9298806759267
43	5.6822186215719	8.9393614788536
44	5.6919950136781	8.9491378709718
45	5.7018914909245	8.9590343482304
46	5.7119853440238	8.9691282013422
47	5.7223274695457	8.9794703268767
48	5.732876854976	8.9900197123199
49	5.7435769650442	9.000719822388
50	5.7476388010274	9.004781658358
51	5.7466105652406	9.0037534225583
52	5.7426862630266	8.9998291203315
53	5.7368110787103	8.9939539360024
54	5.7295651888732	8.9867080461527
55	5.721318723817	8.9784615810841
56	5.7123141576435	8.9694570148982
57	5.7027400924159	8.9598829496585
58	5.6927120947159	8.9498549519464
59	5.6823034136563	8.9394462708748
60	5.6715622157364	8.9287050729431
61	5.6605383952004	8.9176812523953
62	5.6492982942403	8.9064411514236
63	5.6378497243739	8.8949925815458
64	5.6262160392818	8.8833588964422
65	5.6144393146521	8.8715821718013
66	5.6025198382426	8.8596626953807
67	5.5904787022807	8.8476215594077
68	5.5783237322071	8.8354665893231
69	5.5660546407119	8.8231974978171
70	5.5535624800425	8.810705337137
71	5.5410783335488	8.7982211906326
72	5.5285298838067	8.7856727408801
73	5.5159186468536	8.773061503926
74	5.5095332901055	8.7666761471866
75	5.5073305604695	8.7644734175593
76	5.5077478875801	8.7648907446788
77	5.509927681311	8.7670705384186
78	5.5133811025552	8.7705239596719
79	5.5177854552099	8.7749283123358
80	5.5229266919091	8.7800695490443
81	5.5286574936894	8.785800350834
82	5.5348488088499	8.791991666004
83	5.5414348602003	8.7985777173641
84	5.5484002435789	8.8055431007524
85	5.5556421641382	8.8127850213216
86	5.5631535334288	8.8202963906221
87	5.5709096523531	8.8280525095565
88	5.5788857529799	8.8360286101937
89	5.5870342347049	8.844177091929
90	5.5953691020977	8.8525119593323
91	5.6038930276345	8.8610358848798
92	5.6126783986568	8.8698212559129
93	5.621405754936	8.878548612203
94	5.6303199712495	8.8874628285276
95	5.6393598096932	8.8965026669825
96	5.6485170955589	8.9056599528596
97	5.6577838978446	8.9149267551507
98	5.6683379250088	8.9254807823143
99	5.6798873691368	8.9370302264415
100	5.6920769725897	8.9492198298936
101	5.7047283881449	8.9618712454482
102	5.7177244611036	8.974867318406
103	5.7309889230972	8.9881317803989
104	5.7444512420615	9.0015940993625
105	5.75807749096	9.0152203482601
106	5.772124862061	9.0292677193603
107	5.7859910203602	9.0431338776587
108	5.800043663402	9.0571865206996
109	5.8142324501995	9.0713753074962
110	5.8285322149628	9.0856750722587
111	5.8428834597949	9.1000263170898
112	5.8573500090605	9.1144928663545
113	5.8719170939787	9.1290599512717
114	5.8866401313417	9.1437829886337
115	5.9013654684046	9.1585083256957
116	5.9161394581581	9.1732823154482
117	5.9309681042623	9.1881109615513
118	5.9458559213925	9.2029987786805
